locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Szczecin Pogodno,ul. Waleriana Łukasińskiego,3,62,615000,9960,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-szczecin-pogodno-ul-waleriana-lukasinskiego-3-pokojowe-g1d1m8,https://s2.adresowa.pl/oi/4c/56/3a7124_c455_cover-3-pokojowe-mieszkanie-szczecin-pogodno-ul-waleriana-lukasinskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Osów,ul. Czesława Niemena,4,87,890000,10195,Bez pośredników,6 dni temu,16,https://adresowo.pl/o/mieszkanie-szczecin-osow-ul-czeslawa-niemena-4-pokojowe-g1x3s1,https://s2.adresowa.pl/oi/53/53/3a67d0_5498_cover-4-pokojowe-mieszkanie-szczecin-osow-ul-czeslawa-niemena.jpg
Szczecin Słoneczne,,3,64,660000,10313,Bez pośredników,6 dni temu,7,https://adresowo.pl/o/mieszkanie-szczecin-sloneczne-3-pokojowe-64-m2-a6l7q9,https://s2.adresowa.pl/oi/32/40/3a6670_85e2_cover-3-pokojowe-mieszkanie-szczecin-sloneczne.jpg
Szczecin,ul. Stanisława Więckowskiego,5,104,1200000,11538,Oferta biura nieruchomości,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-szczecin-ul-stanislawa-wieckowskiego-5-pokojowe-x3t7r4,https://s2.adresowa.pl/oi/3a/74/3a4bd6_ab7e_cover-5-pokojowe-mieszkanie-szczecin-ul-stanislawa-wieckowskiego.jpg
Szczecin,ul. Waleriana Łukasińskiego,2,47,479000,10191,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-szczecin-ul-waleriana-lukasinskiego-2-pokojowe-u7l1t1,https://s2.adresowa.pl/oi/64/48/3a3c42_b0e9_cover-2-pokojowe-mieszkanie-szczecin-ul-waleriana-lukasinskiego.jpg
Szczecin Stołczyn,ul. Policka,4,105,850000,8095,Bez pośredników,6 dni temu,18,https://adresowo.pl/o/mieszkanie-szczecin-stolczyn-ul-policka-4-pokojowe-o8c1z3,https://s2.adresowa.pl/oi/2f/61/3a6468_39cc_cover-4-pokojowe-mieszkanie-szczecin-stolczyn-ul-policka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Cieszyce,ul. Leona Heyki,4,82,1770955,21500,Bez pośredników,6 dni temu,13,https://adresowo.pl/o/mieszkanie-szczecin-cieszyce-ul-leona-heyki-4-pokojowe-z4d3e2,https://s2.adresowa.pl/oi/5b/5f/3a63e8_54ff_cover-4-pokojowe-mieszkanie-szczecin-cieszyce-ul-leona-heyki.jpg
Szczecin Niebuszewo,,2,50,506000,10222,Bez pośredników,6 dni temu,6,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-2-pokojowe-49-m2-s0z1m4,https://s2.adresowa.pl/oi/56/57/3a6360_c08e_cover-2-pokojowe-mieszkanie-szczecin-niebuszewo.jpg
Szczecin Gumieńce,,2,51,580000,11359,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-szczecin-gumience-2-pokojowe-51-m2-l0u1b1,https://s2.adresowa.pl/oi/34/52/3a399e_99ef_cover-2-pokojowe-mieszkanie-szczecin-gumience.jpg
Szczecin Niebuszewo,ul. Przyjaciół Żołnierza,3,64,659000,10313,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-przyjaciol-zolnierza-3-pokojowe-g0b2n1,https://s2.adresowa.pl/oi/11/24/3a3598_27f3_cover-3-pokojowe-mieszkanie-szczecin-niebuszewo-ul-przyjaciol-zolnierza.jpg
Szczecin Śródmieście,ul. Księcia Bogusława X,2,42,510100,12102,Bez pośredników,6 dni temu,17,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-ul-ksiecia-boguslawa-x-2-pokojowe-b5s8o8,https://s2.adresowa.pl/oi/21/38/3a6260_32f8_cover-2-pokojowe-mieszkanie-szczecin-srodmiescie-ul-ksiecia-boguslawa-x.jpg
Szczecin Centrum,al. Piastów,2,60,730000,12167,Bez pośredników,6 dni temu,6,https://adresowo.pl/o/mieszkanie-szczecin-centrum-al-piastow-2-pokojowe-f2j2f2,https://s2.adresowa.pl/oi/40/40/3a31a6_9224_cover-2-pokojowe-mieszkanie-szczecin-centrum-al-piastow.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Centrum,ul. Stanisława Herakliusza Lubomirskiego,3,63,550000,8681,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-stanislawa-herakliusza-lubomirskiego-3-pokojowe-r3b6n6,https://s2.adresowa.pl/oi/16/7b/3a6046_92af_cover-3-pokojowe-mieszkanie-szczecin-centrum-ul-stanislawa-herakliusza-lubomirskiego.jpg
Szczecin,ul. 1 Maja,2,48,399000,8313,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-szczecin-ul-1-maja-2-pokojowe-y2m1u7,https://s2.adresowa.pl/oi/3e/4f/3a3596_2f43_cover-2-pokojowe-mieszkanie-szczecin-ul-1-maja.jpg
Szczecin Stare Miasto,al. Wojska Polskiego,3,76,719000,9514,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-szczecin-stare-miasto-al-wojska-polskiego-3-pokojowe-u1d5e8,https://s2.adresowa.pl/oi/41/4a/3a3520_5f15_cover-3-pokojowe-mieszkanie-szczecin-stare-miasto-al-wojska-polskiego.jpg
Szczecin Gumieńce,ul. Kazimierska,2,37,495000,13378,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-kazimierska-2-pokojowe-p2i9o8,https://s2.adresowa.pl/oi/45/5f/3a5e64_6e72_cover-2-pokojowe-mieszkanie-szczecin-gumience-ul-kazimierska.jpg
