locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Szczecin Śródmieście,ul. Podhalańska,4,72,749000,10403,Bez pośredników,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-ul-podhalanska-4-pokojowe-w9i1x9,https://s2.adresowa.pl/oi/69/47/39e626_f67c_cover-4-pokojowe-mieszkanie-szczecin-srodmiescie-ul-podhalanska.jpg
Szczecin Centrum,al. Wojska Polskiego,3,87,729000,8389,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-szczecin-centrum-al-wojska-polskiego-3-pokojowe-x1x4d0,https://s2.adresowa.pl/oi/48/36/38fcae_eca6_cover-3-pokojowe-mieszkanie-szczecin-centrum-al-wojska-polskiego.jpg
Szczecin Żelechowa,ul. Maksymiliana Golisza,4,65,706968,10800,Oferta biura nieruchomości,ponad miesiąc temu,2,https://adresowo.pl/o/mieszkanie-szczecin-zelechowa-ul-maksymiliana-golisza-4-pokojowe-d8z3v6,https://s2.adresowa.pl/oi/2f/35/38fc96_90c9_cover-4-pokojowe-mieszkanie-szczecin-zelechowa-ul-maksymiliana-golisza.jpg
Szczecin Żydowce,ul. Motorowa,1,19,120000,6316,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-szczecin-zydowce-ul-motorowa-1-pokoj-k3u2w8,https://s2.adresowa.pl/oi/1f/1d/39e426_5677_cover-1-pokojowe-mieszkanie-szczecin-zydowce-ul-motorowa.jpg
Szczecin Niemierzyn,ul. Fryderyka Chopina,4,62,485000,7774,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-szczecin-niemierzyn-ul-fryderyka-chopina-4-pokojowe-s6x6n4,https://s2.adresowa.pl/oi/11/50/39e382_ef02_cover-4-pokojowe-mieszkanie-szczecin-niemierzyn-ul-fryderyka-chopina.jpg
Szczecin Słoneczne,ul. Kazimierza Wierzyńskiego,2,32,325000,10156,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-szczecin-sloneczne-ul-kazimierza-wierzynskiego-2-pokojowe-e1c4l3,https://s2.adresowa.pl/oi/30/47/39dc24_c5d9_cover-2-pokojowe-mieszkanie-szczecin-sloneczne-ul-kazimierza-wierzynskiego.jpg
Szczecin,al. Wojska Polskiego,3,58,544000,9456,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-al-wojska-polskiego-3-pokojowe-p6y2n0,https://s2.adresowa.pl/oi/57/76/38fc68_fdf9_cover-3-pokojowe-mieszkanie-szczecin-al-wojska-polskiego.jpg
Szczecin,ul. Władysława Szafera,4,64,515000,8009,Oferta biura nieruchomości,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-szczecin-ul-wladyslawa-szafera-4-pokojowe-g5v2v5,https://s2.adresowa.pl/oi/59/24/38fc48_6de0_cover-4-pokojowe-mieszkanie-szczecin-ul-wladyslawa-szafera.jpg
Szczecin Pogodno,ul. ks. Stanisława Kozierowskiego,3,106,936000,8830,Bez pośredników,ponad tydzień temu,24,https://adresowo.pl/o/mieszkanie-szczecin-pogodno-ul-ks-stanislawa-kozierowskiego-3-pokojowe-p7f8v8,https://s2.adresowa.pl/oi/32/58/3a06de_797c_cover-3-pokojowe-mieszkanie-szczecin-pogodno-ul-ks-stanislawa-kozierowskiego.jpg
Szczecin Zawadzkiego-Klonowica,ul. Eugeniusza Romera,3,63,619000,9810,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-szczecin-zawadzkiego-klonowica-ul-eugeniusza-romera-3-pokojowe-v1q2o4,https://s2.adresowa.pl/oi/19/4f/39db8e_6aa7_cover-3-pokojowe-mieszkanie-szczecin-zawadzkiego-klonowica-ul-eugeniusza-romera.jpg
Szczecin Bezrzecze,ul. Cynamonowa,3,58,679000,11687,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-szczecin-bezrzecze-ul-cynamonowa-3-pokojowe-j1d6s5,https://s2.adresowa.pl/oi/5b/30/39db32_2d3c_cover-3-pokojowe-mieszkanie-szczecin-bezrzecze-ul-cynamonowa.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/szczecin/centrum-U/,
Szczecin Niebuszewo,ul. Edwarda Dembowskiego,3,56,719000,12735,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-edwarda-dembowskiego-3-pokojowe-p7x3h2,https://s2.adresowa.pl/oi/73/25/39dad8_9f4b_cover-3-pokojowe-mieszkanie-szczecin-niebuszewo-ul-edwarda-dembowskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Centrum,pl. Zgody,3,68,609000,9022,Oferta biura nieruchomości,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-szczecin-centrum-pl-zgody-3-pokojowe-i9r2v6,https://s2.adresowa.pl/oi/58/52/38fc4c_ff8b_cover-3-pokojowe-mieszkanie-szczecin-centrum-pl-zgody.jpg
Szczecin Gumieńce,,3,74,630000,8505,Oferta biura nieruchomości,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-szczecin-gumience-3-pokojowe-74-m2-e5v8w9,https://s2.adresowa.pl/oi/2b/66/38fc40_d005_cover-3-pokojowe-mieszkanie-szczecin-gumience.jpg
Szczecin Centrum,ul. Władysława Jagiełły,4,64,509000,7953,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-wladyslawa-jagielly-4-pokojowe-z6g7r6,https://s2.adresowa.pl/oi/78/54/39c59c_2d9b_cover-4-pokojowe-mieszkanie-szczecin-centrum-ul-wladyslawa-jagielly.jpg
Szczecin Zawadzkiego-Klonowica,ul. Sebastiana Klonowica,2,45,399000,8966,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-szczecin-zawadzkiego-klonowica-ul-sebastiana-klonowica-2-pokojowe-g3k7x3,https://s2.adresowa.pl/oi/1f/22/39d3ec_5cf1_cover-2-pokojowe-mieszkanie-szczecin-zawadzkiego-klonowica-ul-sebastiana-klonowica.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Gumieńce,ul. Konstantego Maciejewicza,2,49,489000,9986,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-konstantego-maciejewicza-2-pokojowe-s1f9e7,https://s2.adresowa.pl/oi/5c/16/39cf30_cff6_cover-2-pokojowe-mieszkanie-szczecin-gumience-ul-konstantego-maciejewicza.jpg
Szczecin Śródmieście,ul. Ofiar Oświęcimia,2,36,379000,10598,Oferta biura nieruchomości,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-ul-ofiar-oswiecimia-2-pokojowe-o1l4k1,https://s2.adresowa.pl/oi/5a/5e/38fc42_a1b9_cover-2-pokojowe-mieszkanie-szczecin-srodmiescie-ul-ofiar-oswiecimia.jpg
Szczecin Zawadzkiego-Klonowica,,3,53,639000,12116,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-szczecin-zawadzkiego-klonowica-3-pokojowe-52-m2-i1a8g1,https://s2.adresowa.pl/oi/4a/11/38fc10_aa50_cover-3-pokojowe-mieszkanie-szczecin-zawadzkiego-klonowica.jpg
Szczecin Centrum,ul. Parkowa,3,45,410000,9111,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-parkowa-3-pokojowe-s0h8l0,https://s2.adresowa.pl/oi/73/52/39cda8_2ab5_cover-3-pokojowe-mieszkanie-szczecin-centrum-ul-parkowa.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Podjuchy,ul. Smocza,3,118,990000,8390,Bez pośredników,ponad miesiąc temu,24,https://adresowo.pl/o/mieszkanie-szczecin-podjuchy-ul-smocza-3-pokojowe-x2a8y4,https://s2.adresowa.pl/oi/2f/32/39c678_ae71_cover-3-pokojowe-mieszkanie-szczecin-podjuchy-ul-smocza.jpg
Szczecin Gumieńce,,2,38,475272,12600,Bez pośredników,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-szczecin-gumience-2-pokojowe-37-m2-d8g0s5,https://s2.adresowa.pl/oi/1f/5b/39c8fe_d698_cover-2-pokojowe-mieszkanie-szczecin-gumience.jpg
Szczecin,,2,54,615000,11380,Oferta biura nieruchomości,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-szczecin-2-pokojowe-54-m2-g9r3u0,https://s2.adresowa.pl/oi/7f/3d/38fc12_309b_cover-2-pokojowe-mieszkanie-szczecin.jpg
Szczecin Żelechowa,ul. Maksymiliana Golisza,3,59,626460,10602,Oferta biura nieruchomości,ponad miesiąc temu,2,https://adresowo.pl/o/mieszkanie-szczecin-zelechowa-ul-maksymiliana-golisza-3-pokojowe-x5w2r8,https://s2.adresowa.pl/oi/57/40/38fc14_59d9_cover-3-pokojowe-mieszkanie-szczecin-zelechowa-ul-maksymiliana-golisza.jpg
Szczecin Centrum,ul. Obrońców Stalingradu,2,34,335800,10000,Bez pośredników,ponad miesiąc temu,1,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-obroncow-stalingradu-2-pokojowe-m9d8q4,https://s2.adresowa.pl/oi/6d/72/39c8fa_7e59_cover-2-pokojowe-mieszkanie-szczecin-centrum-ul-obroncow-stalingradu.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Prawobrzeże,ul. Aleksandra Kostki Napierskiego,4,64,629900,9904,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-szczecin-prawobrzeze-ul-aleksandra-kostki-napierskiego-4-pokojowe-d1i1h1,https://s2.adresowa.pl/oi/24/67/39c6b4_a42f_cover-4-pokojowe-mieszkanie-szczecin-prawobrzeze-ul-aleksandra-kostki-napierskiego.jpg
Szczecin Bukowe,ul. Fioletowa,2,50,494000,9980,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-szczecin-bukowe-ul-fioletowa-2-pokojowe-p5f9i5,https://s2.adresowa.pl/oi/45/11/39c696_7604_cover-2-pokojowe-mieszkanie-szczecin-bukowe-ul-fioletowa.jpg
Szczecin Gumieńce,,3,71,719900,10190,Oferta biura nieruchomości,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-szczecin-gumience-3-pokojowe-70-m2-u9f0p1,https://s2.adresowa.pl/oi/55/29/38fc08_2d87_cover-3-pokojowe-mieszkanie-szczecin-gumience.jpg
Szczecin Warszewo,ul. Włodzimierza Ostoi-Zagórskiego,2,44,455260,10300,Oferta biura nieruchomości,ponad miesiąc temu,3,https://adresowo.pl/o/mieszkanie-szczecin-warszewo-ul-wlodzimierza-ostoi-zagorskiego-2-pokojowe-v3b3p5,https://s2.adresowa.pl/oi/31/74/38fbfc_827d_cover-2-pokojowe-mieszkanie-szczecin-warszewo-ul-wlodzimierza-ostoi-zagorskiego.jpg
Szczecin Bukowo,ul. Cztery Pory Roku,3,65,670000,10308,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-szczecin-bukowo-ul-cztery-pory-roku-3-pokojowe-g4b0p3,https://s2.adresowa.pl/oi/48/27/39bfdc_5ff8_cover-3-pokojowe-mieszkanie-szczecin-bukowo-ul-cztery-pory-roku.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Prawobrzeże,ul. Mariana Falskiego,3,68,660000,9735,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-szczecin-prawobrzeze-ul-mariana-falskiego-3-pokojowe-h6w0w0,https://s2.adresowa.pl/oi/54/6b/39bf10_5332_cover-3-pokojowe-mieszkanie-szczecin-prawobrzeze-ul-mariana-falskiego.jpg
Szczecin Gumieńce,ul. Lubelska,2,54,717000,13168,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-lubelska-2-pokojowe-u7i2i7,https://s2.adresowa.pl/oi/14/17/39bbec_f352_cover-2-pokojowe-mieszkanie-szczecin-gumience-ul-lubelska.jpg
Szczecin,ul. ks. kard. Stefana Wyszyńskiego,3,60,565000,9370,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-szczecin-ul-ks-kard-stefana-wyszynskiego-3-pokojowe-z3t2i2,https://s2.adresowa.pl/oi/1d/3e/38fbf4_f08f_cover-3-pokojowe-mieszkanie-szczecin-ul-ks-kard-stefana-wyszynskiego.jpg
Szczecin Śródmieście,ul. Sławomira,3,80,519000,6488,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-ul-slawomira-3-pokojowe-o9u9t7,https://s2.adresowa.pl/oi/34/50/38f92e_a11e_cover-3-pokojowe-mieszkanie-szczecin-srodmiescie-ul-slawomira.jpg
Szczecin Centrum,ul. Gabriela Narutowicza,2,38,395000,10367,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-gabriela-narutowicza-2-pokojowe-n5q0p6,https://s2.adresowa.pl/oi/4c/68/39a8fc_5a03_cover-2-pokojowe-mieszkanie-szczecin-centrum-ul-gabriela-narutowicza.jpg
Szczecin Słoneczne,ul. Łubinowa,2,40,649000,16225,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-szczecin-sloneczne-ul-lubinowa-2-pokojowe-l6b8q0,https://s2.adresowa.pl/oi/1a/2f/39a2e8_7bc6_cover-2-pokojowe-mieszkanie-szczecin-sloneczne-ul-lubinowa.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin Centrum,ul. Jana Henryka Dąbrowskiego,3,70,840000,12000,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-jana-henryka-dabrowskiego-3-pokojowe-v2d0z2,https://s2.adresowa.pl/oi/5e/13/39a048_6ebf_cover-3-pokojowe-mieszkanie-szczecin-centrum-ul-jana-henryka-dabrowskiego.jpg
Szczecin Kijewo,,3,58,680000,11674,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-szczecin-kijewo-3-pokojowe-58-m2-b2g3i8,https://s2.adresowa.pl/oi/3a/65/38f8fa_5e2c_cover-3-pokojowe-mieszkanie-szczecin-kijewo.jpg
Szczecin,ul. Bolesława Limanowskiego,2,52,300000,5813,Oferta biura nieruchomości,ponad miesiąc temu,4,https://adresowo.pl/o/mieszkanie-szczecin-ul-boleslawa-limanowskiego-2-pokojowe-v0y2d3,https://s2.adresowa.pl/oi/38/27/38df72_efb8_cover-2-pokojowe-mieszkanie-szczecin-ul-boleslawa-limanowskiego.jpg
Szczecin Zawadzkiego-Klonowica,ul. Eugeniusza Romera,4,64,599000,9359,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-szczecin-zawadzkiego-klonowica-ul-eugeniusza-romera-4-pokojowe-l8x6z6,https://s2.adresowa.pl/oi/50/31/399f94_f239_cover-4-pokojowe-mieszkanie-szczecin-zawadzkiego-klonowica-ul-eugeniusza-romera.jpg
Szczecin Pogodno,ul. Henryka Rodakowskiego,3,70,859000,12280,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-szczecin-pogodno-ul-henryka-rodakowskiego-3-pokojowe-u1f8z0,https://s2.adresowa.pl/oi/77/71/399fac_c77c_cover-3-pokojowe-mieszkanie-szczecin-pogodno-ul-henryka-rodakowskiego.jpg
Szczecin Warszewo,ul. ks. bp. Władysława Bandurskiego,3,73,860000,11781,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-szczecin-warszewo-ul-ks-bp-wladyslawa-bandurskiego-3-pokojowe-t3m3m0,https://s2.adresowa.pl/oi/53/54/399d4a_6fd7_cover-3-pokojowe-mieszkanie-szczecin-warszewo-ul-ks-bp-wladyslawa-bandurskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Szczecin,ul. Aleksandra Kostki Napierskiego,4,76,729000,9567,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-szczecin-ul-aleksandra-kostki-napierskiego-4-pokojowe-r7g7h7,https://s2.adresowa.pl/oi/7a/54/38cc9c_c105_cover-4-pokojowe-mieszkanie-szczecin-ul-aleksandra-kostki-napierskiego.jpg
Szczecin Niebuszewo,ul. Heleny,2,47,549000,11681,Oferta biura nieruchomości,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-heleny-2-pokojowe-o6x9j7,https://s2.adresowa.pl/oi/2e/34/38cc68_c7fa_cover-2-pokojowe-mieszkanie-szczecin-niebuszewo-ul-heleny.jpg
Szczecin Śródmieście,,2,50,530000,10600,Bez pośredników,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-2-pokojowe-50-m2-o1s6x0,https://s2.adresowa.pl/oi/69/49/399c1c_faac_cover-2-pokojowe-mieszkanie-szczecin-srodmiescie.jpg
Szczecin Słoneczne,ul. Lucjana Rydla,4,65,520000,8000,Bez pośredników,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-szczecin-sloneczne-ul-lucjana-rydla-4-pokojowe-e1n5h6,https://s2.adresowa.pl/oi/20/17/399a00_58ee_cover-4-pokojowe-mieszkanie-szczecin-sloneczne-ul-lucjana-rydla.jpg
Szczecin Śródmieście,al. Wyzwolenia,2,49,1029000,21000,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-al-wyzwolenia-2-pokojowe-s0j0l6,https://s2.adresowa.pl/oi/6f/4f/39995e_a1da_cover-2-pokojowe-mieszkanie-szczecin-srodmiescie-al-wyzwolenia.jpg
Szczecin,ul. Policka,4,65,615000,9476,Oferta biura nieruchomości,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-szczecin-ul-policka-4-pokojowe-p4c1b0,https://s2.adresowa.pl/oi/78/3c/38c54a_389b_cover-4-pokojowe-mieszkanie-szczecin-ul-policka.jpg
Szczecin Centrum,al. Bohaterów Warszawy,6,87,570000,6566,Oferta biura nieruchomości,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-szczecin-centrum-al-bohaterow-warszawy-6-pokojowe-k7g8c1,https://s2.adresowa.pl/oi/71/33/38c51e_79b1_cover-6-pokojowe-mieszkanie-szczecin-centrum-al-bohaterow-warszawy.jpg
Szczecin Gumieńce,ul. Rezedowa,3,54,539000,9981,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-szczecin-gumience-ul-rezedowa-3-pokojowe-j1t6s4,https://s2.adresowa.pl/oi/64/6a/399864_e812_cover-3-pokojowe-mieszkanie-szczecin-gumience-ul-rezedowa.jpg
Szczecin Podjuchy,ul. Mariana Falskiego,3,61,539000,8880,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-szczecin-podjuchy-ul-mariana-falskiego-3-pokojowe-j9d4b0,https://s2.adresowa.pl/oi/68/1e/3991f2_299e_cover-3-pokojowe-mieszkanie-szczecin-podjuchy-ul-mariana-falskiego.jpg
Szczecin Żelechowa,ul. Robotnicza,3,58,570000,9879,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-szczecin-zelechowa-ul-robotnicza-3-pokojowe-n8g1h8,https://s2.adresowa.pl/oi/30/44/399768_82e4_cover-3-pokojowe-mieszkanie-szczecin-zelechowa-ul-robotnicza.jpg
Szczecin,ul. Józefa Korzeniowskiego,4,91,457000,5022,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-szczecin-ul-jozefa-korzeniowskiego-4-pokojowe-o3h0i4,https://s2.adresowa.pl/oi/47/70/38c3f6_6776_cover-4-pokojowe-mieszkanie-szczecin-ul-jozefa-korzeniowskiego.jpg
Szczecin Drzetowo,ul. Franciszka Ksawerego Druckiego-Lubeckiego,1,32,305000,9531,Oferta biura nieruchomości,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-szczecin-drzetowo-ul-franciszka-ksawerego-druckiego-lubeckiego-1-pokoj-z6d3o4,https://s2.adresowa.pl/oi/6d/46/38b5e2_b26a_cover-1-pokojowe-mieszkanie-szczecin-drzetowo-ul-franciszka-ksawerego-druckiego-lubeckiego.jpg
Szczecin Niebuszewo,,2,35,385000,11000,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-2-pokojowe-35-m2-z7k0e0,https://s2.adresowa.pl/oi/17/52/3992f8_8e2c_cover-2-pokojowe-mieszkanie-szczecin-niebuszewo.jpg
Szczecin Bukowe,ul. Akwarelowa,2,60,479000,7983,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-szczecin-bukowe-ul-akwarelowa-2-pokojowe-h5l1q0,https://s2.adresowa.pl/oi/3a/2d/398e94_9c9e_cover-2-pokojowe-mieszkanie-szczecin-bukowe-ul-akwarelowa.jpg
Szczecin Centrum,ul. Wielkopolska,1,36,385000,10600,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-wielkopolska-1-pokoj-q4d2t9,https://s2.adresowa.pl/oi/7a/77/398d8c_471f_cover-1-pokojowe-mieszkanie-szczecin-centrum-ul-wielkopolska.jpg
Szczecin Pomorzany,al. Powstańców Wielkopolskich,2,50,490000,9800,Oferta biura nieruchomości,ponad miesiąc temu,50,https://adresowo.pl/o/mieszkanie-szczecin-pomorzany-al-powstancow-wielkopolskich-2-pokojowe-i9l4l3,https://s2.adresowa.pl/oi/2c/1f/38ab74_e777_cover-2-pokojowe-mieszkanie-szczecin-pomorzany-al-powstancow-wielkopolskich.jpg
Szczecin Kijewo,ul. Świstacza,2,46,435000,9430,Oferta biura nieruchomości,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-szczecin-kijewo-ul-swistacza-2-pokojowe-v9h5p8,https://s2.adresowa.pl/oi/38/2d/388326_f22e_cover-2-pokojowe-mieszkanie-szczecin-kijewo-ul-swistacza.jpg
Szczecin Świerczewo,ul. Santocka,3,60,536000,9008,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-szczecin-swierczewo-ul-santocka-3-pokojowe-k6f6r0,https://s2.adresowa.pl/oi/41/3d/39868a_4604_cover-3-pokojowe-mieszkanie-szczecin-swierczewo-ul-santocka.jpg
Szczecin Centrum,ul. Pawła Stalmacha,2,29,352000,12138,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-pawla-stalmacha-2-pokojowe-y0b4d4,https://s2.adresowa.pl/oi/5d/1e/398116_28e0_cover-2-pokojowe-mieszkanie-szczecin-centrum-ul-pawla-stalmacha.jpg
Szczecin Drzetowo,ul. Parkowa,3,73,605000,8276,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-szczecin-drzetowo-ul-parkowa-3-pokojowe-z8x7x5,https://s2.adresowa.pl/oi/70/44/3979b6_ff62_cover-3-pokojowe-mieszkanie-szczecin-drzetowo-ul-parkowa.jpg
Szczecin Centrum,ul. Mariacka,2,48,890000,18666,Oferta biura nieruchomości,ponad miesiąc temu,50,https://adresowo.pl/o/mieszkanie-szczecin-centrum-ul-mariacka-2-pokojowe-v2r7n1,https://s2.adresowa.pl/oi/1e/61/386d62_29a0_cover-2-pokojowe-mieszkanie-szczecin-centrum-ul-mariacka.jpg
Szczecin,pl. Orła Białego,3,74,579000,7878,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-szczecin-pl-orla-bialego-3-pokojowe-p1a4m2,https://s2.adresowa.pl/oi/6c/4b/38552e_3478_cover-3-pokojowe-mieszkanie-szczecin-pl-orla-bialego.jpg
Szczecin Bukowe,ul. Beżowa,2,59,615000,10459,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-bukowe-ul-bezowa-2-pokojowe-p9k2w0,https://s2.adresowa.pl/oi/64/32/3979b2_b365_cover-2-pokojowe-mieszkanie-szczecin-bukowe-ul-bezowa.jpg
Szczecin Gumieńce,,4,110,859000,7809,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-szczecin-gumience-4-pokojowe-110-m2-h7n2h2,https://s2.adresowa.pl/oi/77/32/3979ac_c453_cover-4-pokojowe-mieszkanie-szczecin-gumience.jpg
Szczecin Bukowo,ul. Władysława Nehringa,3,59,699000,11860,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-szczecin-bukowo-ul-wladyslawa-nehringa-3-pokojowe-z8b2z3,https://s2.adresowa.pl/oi/4d/1e/39788c_8687_cover-3-pokojowe-mieszkanie-szczecin-bukowo-ul-wladyslawa-nehringa.jpg
Szczecin,ul. Zygmunta Chmielewskiego,2,48,599000,12611,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-szczecin-ul-zygmunta-chmielewskiego-2-pokojowe-l7f5c7,https://s2.adresowa.pl/oi/19/67/3842b8_2daa_cover-2-pokojowe-mieszkanie-szczecin-ul-zygmunta-chmielewskiego.jpg
Szczecin Niebuszewo,ul. Elizy Orzeszkowej,3,59,450000,7627,Oferta biura nieruchomości,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-szczecin-niebuszewo-ul-elizy-orzeszkowej-3-pokojowe-d9t2y3,https://s2.adresowa.pl/oi/15/34/3831e2_4683_cover-3-pokojowe-mieszkanie-szczecin-niebuszewo-ul-elizy-orzeszkowej.jpg
Szczecin Warszewo,ul. Plejady,3,67,850000,12613,Bez pośredników,ponad miesiąc temu,22,https://adresowo.pl/o/mieszkanie-szczecin-warszewo-ul-plejady-3-pokojowe-o0s9h2,https://s2.adresowa.pl/oi/10/3b/397442_a92a_cover-3-pokojowe-mieszkanie-szczecin-warszewo-ul-plejady.jpg
Szczecin Bukowe,ul. Pomarańczowa,3,63,571000,9063,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-szczecin-bukowe-ul-pomaranczowa-3-pokojowe-k6u9y5,https://s2.adresowa.pl/oi/2e/79/397392_596c_cover-3-pokojowe-mieszkanie-szczecin-bukowe-ul-pomaranczowa.jpg
Szczecin Centrum,,2,47,619000,13170,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-szczecin-centrum-2-pokojowe-47-m2-m5u6i0,https://s2.adresowa.pl/oi/5d/1e/397196_d6c4_cover-2-pokojowe-mieszkanie-szczecin-centrum.jpg
Szczecin,ul. Legnicka,2,45,399000,8867,Oferta biura nieruchomości,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-szczecin-ul-legnicka-2-pokojowe-q2q1j1,https://s2.adresowa.pl/oi/5d/4c/3831d6_f658_cover-2-pokojowe-mieszkanie-szczecin-ul-legnicka.jpg
Szczecin Śródmieście,al. Wyzwolenia,1,26,309000,12103,Oferta biura nieruchomości,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-szczecin-srodmiescie-al-wyzwolenia-1-pokoj-h3t5g2,https://s2.adresowa.pl/oi/41/27/3831c6_6663_cover-1-pokojowe-mieszkanie-szczecin-srodmiescie-al-wyzwolenia.jpg
